transaction_id,timestamp,location,product_id,quantity,revenue,payment_method,loyalty_member
1000,2025-11-15 06:11:00,Suburb,108,1.0,2.92,Cash,True
1001,2025-11-15 06:58:00,Campus,104,1.0,2.43,Mobile,False
1005,2025-11-15 07:00:00,Campus,101,1.0,2.44,Credit,True
1006,2025-11-15 07:00:00,Suburb,102,1.0,4.57,Credit,False
1004,2025-11-15 07:05:00,Suburb,114,1.0,4.8,Credit,True
1008,2025-11-15 07:08:00,Campus,105,1.0,3.64,Credit,False
1002,2025-11-15 07:27:00,Suburb,108,1.0,2.78,Mobile,True
1007,2025-11-15 07:36:00,Campus,113,1.0,3.42,Credit,False
1003,2025-11-15 07:46:00,Downtown,111,1.0,3.72,Cash,False
1017,2025-11-15 08:02:00,Suburb,103,1.0,4.5,Credit,True
1020,2025-11-15 08:05:00,Downtown,105,,4.17,Credit,False
1010,2025-11-15 08:16:00,Suburb,105,1.0,3.92,Credit,True
1015,2025-11-15 08:16:00,Suburb,113,1.0,3.74,Mobile,False
1023,2025-11-15 08:24:00,Downtown,103,1.0,5.61,Credit,False
1019,2025-11-15 08:24:00,Suburb,112,1.0,2.93,Credit,False
1013,2025-11-15 08:30:00,Downtown,104,1.0,2.92,Credit,True
1021,2025-11-15 08:31:00,Suburb,108,1.0,2.64,Credit,False
1016,2025-11-15 08:33:00,Downtown,105,1.0,4.53,Mobile,False
1012,2025-11-15 08:38:00,Suburb,113,1.0,3.86,Credit,False
1014,2025-11-15 08:40:00,Downtown,106,1.0,10.44,Mobile,False
1009,2025-11-15 08:46:00,Downtown,102,1.0,4.83,Credit,False
1011,2025-11-15 08:50:00,Downtown,101,1.0,3.35,Mobile,True
1022,2025-11-15 08:51:00,Downtown,103,1.0,5.76,Credit,True
1018,2025-11-15 08:53:00,Suburb,112,1.0,3.03,Credit,True
1024,2025-11-15 09:06:00,Campus,114,1.0,4.07,Credit,False
1028,2025-11-15 09:10:00,Downtown,103,1.0,5.7,Credit,True
1027,2025-11-15 09:10:00,Downtown,102,1.0,5.15,Credit,True
1025,2025-11-15 09:14:00,Suburb,110,1.0,7.71,Credit,False
1029,2025-11-15 09:17:00,Suburb,106,1.0,8.33,Mobile,False
